timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size
1772045145.214106,none,/big.txt,1126400,0,irregular,0.0000,0,,
1772045145.216168,none,/big.txt,135168,4096,irregular,0.0000,0,,
1772045145.218166,none,/big.txt,655360,4096,irregular,0.0000,0,,
1772045145.2200341,none,/big.txt,860160,4096,irregular,0.0000,0,,
1772045145.22183,none,/big.txt,389120,4096,irregular,0.0000,0,,
1772045148.250823,none,/big.txt,20480,4096,unknown,0.0000,0,,
1772045148.255032,none,/big.txt,491520,4096,irregular,0.0000,0,,
1772045148.259066,none,/big.txt,172032,4096,irregular,0.0000,0,,
1772045148.26228,none,/big.txt,1228800,0,irregular,0.0000,0,,
1772045148.26519,none,/big.txt,69632,4096,irregular,0.0000,0,,
1772045148.268031,none,/big.txt,1024000,0,irregular,0.0000,0,,
1772045148.270593,none,/big.txt,360448,4096,irregular,0.0000,0,,
1772045148.272914,none,/big.txt,778240,4096,irregular,0.0000,0,,
1772045148.275541,none,/big.txt,245760,4096,irregular,0.0000,0,,
1772045148.277826,none,/big.txt,40960,4096,irregular,0.0000,0,,
1772045148.280069,none,/big.txt,1126400,0,irregular,0.0000,0,,
1772045148.282281,none,/big.txt,135168,4096,irregular,0.0000,0,,
1772045148.284323,none,/big.txt,655360,4096,irregular,0.0000,0,,
1772045148.286444,none,/big.txt,860160,4096,irregular,0.0000,0,,
1772045148.2884228,none,/big.txt,389120,4096,irregular,0.0000,0,,
1772045151.318439,none,/big.txt,20480,4096,unknown,0.0000,0,,
1772045151.32237,none,/big.txt,491520,4096,irregular,0.0000,0,,
1772045151.326659,none,/big.txt,172032,4096,irregular,0.0000,0,,
1772045151.3301172,none,/big.txt,1228800,0,irregular,0.0000,0,,
1772045151.3332999,none,/big.txt,69632,4096,irregular,0.0000,0,,
1772045151.335928,none,/big.txt,1024000,0,irregular,0.0000,0,,
1772045151.338629,none,/big.txt,360448,4096,irregular,0.0000,0,,
1772045151.3410308,none,/big.txt,778240,4096,irregular,0.0000,0,,
1772045151.343454,none,/big.txt,245760,4096,irregular,0.0000,0,,
1772045151.345716,none,/big.txt,40960,4096,irregular,0.0000,0,,
1772045151.3479779,none,/big.txt,1126400,0,irregular,0.0000,0,,
1772045151.350006,none,/big.txt,135168,4096,irregular,0.0000,0,,
1772045151.352042,none,/big.txt,655360,4096,irregular,0.0000,0,,
1772045151.354012,none,/big.txt,860160,4096,irregular,0.0000,0,,
1772045151.3560379,none,/big.txt,389120,4096,irregular,0.0000,0,,
1772045154.386911,none,/big.txt,0,65536,unknown,0.0000,0,,
1772045154.387398,none,/big.txt,65536,65536,sequential,1.0000,0,,
1772045154.3877409,none,/big.txt,131072,65536,sequential,1.0000,0,,
1772045154.388048,none,/big.txt,196608,65536,sequential,1.0000,0,,
1772045154.388303,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045154.3885179,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045154.388739,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045154.388979,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045154.389211,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045154.389462,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045154.3897102,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045154.390156,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045154.390589,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045154.390862,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045154.391211,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772045154.391493,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772045154.3917608,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045154.396821,none,/big.txt,20480,4096,irregular,0.7500,0,,
1772045154.4004521,none,/big.txt,491520,4096,irregular,0.5000,0,,
1772045154.40332,none,/big.txt,172032,4096,irregular,0.2500,0,,
1772045154.406372,none,/big.txt,1228800,0,irregular,0.0000,0,,
1772045154.4089139,none,/big.txt,69632,4096,irregular,0.0000,0,,
1772045154.411603,none,/big.txt,1024000,0,irregular,0.0000,0,,
1772045154.4137752,none,/big.txt,360448,4096,irregular,0.0000,0,,
1772045154.416041,none,/big.txt,778240,4096,irregular,0.0000,0,,
1772045154.4182541,none,/big.txt,245760,4096,irregular,0.0000,0,,
1772045154.420223,none,/big.txt,40960,4096,irregular,0.0000,0,,
1772045154.422452,none,/big.txt,0,65536,irregular,0.0000,0,,
1772045154.422566,none,/big.txt,65536,65536,irregular,0.2500,0,,
1772045154.422682,none,/big.txt,131072,65536,irregular,0.5000,0,,
1772045154.422784,none,/big.txt,196608,65536,irregular,0.7500,0,,
1772045154.422883,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045154.422992,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045154.423091,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045154.4231849,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045154.4232829,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045154.423381,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045154.42348,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045154.423569,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045154.423657,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045154.4237509,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045154.4238431,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772045154.423945,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772045154.424039,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045157.4459589,none,/big.txt,0,65536,unknown,0.0000,0,,
1772045157.446214,none,/big.txt,65536,65536,sequential,1.0000,0,,
1772045157.446344,none,/big.txt,131072,65536,sequential,1.0000,0,,
1772045157.44656,none,/big.txt,196608,65536,sequential,1.0000,0,,
1772045157.446731,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045157.446883,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045157.447022,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045157.4471638,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045157.447304,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045157.447424,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045157.4475431,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045157.447687,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045157.447815,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045157.44793,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045157.4480488,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772045157.44817,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772045157.448322,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045157.450797,none,/big.txt,20480,4096,irregular,0.7500,0,,
1772045157.4529102,none,/big.txt,491520,4096,irregular,0.5000,0,,
1772045157.4550998,none,/big.txt,172032,4096,irregular,0.2500,0,,
1772045157.4571,none,/big.txt,1228800,0,irregular,0.0000,0,,
1772045157.459157,none,/big.txt,69632,4096,irregular,0.0000,0,,
1772045157.4608939,none,/big.txt,1024000,0,irregular,0.0000,0,,
1772045157.462702,none,/big.txt,360448,4096,irregular,0.0000,0,,
1772045157.464479,none,/big.txt,778240,4096,irregular,0.0000,0,,
1772045157.466073,none,/big.txt,245760,4096,irregular,0.0000,0,,
1772045157.467745,none,/big.txt,40960,4096,irregular,0.0000,0,,
1772045157.469454,none,/big.txt,0,65536,irregular,0.0000,0,,
1772045157.469565,none,/big.txt,65536,65536,irregular,0.2500,0,,
1772045157.469664,none,/big.txt,131072,65536,irregular,0.5000,0,,
1772045157.469762,none,/big.txt,196608,65536,irregular,0.7500,0,,
1772045157.469852,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045157.4699378,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045157.470029,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045157.4701262,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045157.470219,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045157.47031,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045157.470399,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045157.470499,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045157.470623,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045157.470712,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045157.470813,none,/big.txt,917504,65536,sequential,1.0000,0,,
