workload,run,mode,real_sec,user_sec,sys_sec
seek_suppression,1,native,0.0560,0.0190,0.0000
seek_suppression,1,none,0.1140,0.0110,0.0070
seek_suppression,1,baseline,0.1170,0.0120,0.0080
seek_suppression,1,adaptive,0.1150,0.0110,0.0070
seek_suppression,2,native,0.0570,0.0110,0.0090
seek_suppression,2,none,0.1200,0.0150,0.0030
seek_suppression,2,baseline,0.1170,0.0150,0.0050
seek_suppression,2,adaptive,0.1190,0.0150,0.0050
seek_suppression,3,native,0.0560,0.0160,0.0040
seek_suppression,3,none,0.1230,0.0120,0.0070
seek_suppression,3,baseline,0.1230,0.0180,0.0000
seek_suppression,3,adaptive,0.1200,0.0180,0.0000
seek_suppression,4,native,0.0540,0.0150,0.0040
seek_suppression,4,none,0.1130,0.0180,0.0000
seek_suppression,4,baseline,0.1170,0.0180,0.0000
seek_suppression,4,adaptive,0.1200,0.0150,0.0030
seek_suppression,5,native,0.0570,0.0150,0.0050
seek_suppression,5,none,0.1160,0.0100,0.0070
seek_suppression,5,baseline,0.1170,0.0180,0.0000
seek_suppression,5,adaptive,0.1150,0.0170,0.0010
seek_suppression,6,native,0.0550,0.0120,0.0070
seek_suppression,6,none,0.1150,0.0170,0.0030
seek_suppression,6,baseline,0.1170,0.0160,0.0040
seek_suppression,6,adaptive,0.1160,0.0170,0.0020
seek_suppression,7,native,0.0550,0.0010,0.0190
seek_suppression,7,none,0.1140,0.0180,0.0000
seek_suppression,7,baseline,0.1210,0.0170,0.0010
seek_suppression,7,adaptive,0.1200,0.0130,0.0050
seek_suppression,8,native,0.0550,0.0130,0.0060
seek_suppression,8,none,0.1140,0.0120,0.0060
seek_suppression,8,baseline,0.1230,0.0170,0.0010
seek_suppression,8,adaptive,0.1160,0.0120,0.0050
seek_suppression,9,native,0.0580,0.0140,0.0060
seek_suppression,9,none,0.1130,0.0160,0.0010
seek_suppression,9,baseline,0.1190,0.0180,0.0000
seek_suppression,9,adaptive,0.1150,0.0130,0.0050
seek_suppression,10,native,0.0560,0.0180,0.0010
